	S_marcescens_SER00094	S_liquefaciens_FDAARGOS_125	S_marcescens_WVU-002	S_marcescens_UMH2	S_marcescens_AR_0124	S_marcescens_AR_0027	S_ficaria_NCTC12148	S_marcescens_WVU-003	S_marcescens_UMH3	S_marcescens_4201	S_marcescens_E28	S_marcescens_AR_0099	S_marcescens_AR_0130	S_marcescens_CAV1761	S_marcescens_U36365	S_marcescens_N10A28	S_marcescens_3024	S_marcescens_AR_0131	S_marcescens_WVU-001	S_liquefaciens_ATCC_27592	S_marcescens_UMH1	S_marcescens_C110	S_liquefaciens_S1	S_marcescens_AS-1	S_marcescens_1140	S_marcescens_N4-5	S_marcescens_ATCC_274	S_marcescens_UMH11	S_marcescens_UMH6	S_marcescens_SGAir0764	S_marcescens_WVU-006	S_marcescens_95	S_marcescens_WVU-010	S_marcescens_FDAARGOS_65	S_marcescens_SM39	S_marcescens_UMH10	S_marcescens_CAV1492	S_marcescens_WW4	S_marcescens_UMH7	S_marcescens_WVU-007	S_proteamaculans_336X	S_marcescens_B3R3	S_marcescens_BP2	S_marcescens_AR_0121	S_liquefaciens_HUMV-21	S_marcescens_AR_0091	S_marcescens_WVU-008	S_proteamaculans_568	S_marcescens_332	S_marcescens_WVU-004	S_marcescens_UMH8	S_liquefaciens_FG3	S_quinivorans_NCTC13188	S_marcescens_2838	S_quinivorans_PKL	S_marcescens_1602	S_marcescens_ATCC_13880	S_marcescens_AR_0122	S_marcescens_UMH5	S_marcescens_UMH12	S_marcescens_BWH-35	S_marcescens_WVU-009	S_marcescens_WVU-005	S_marcescens_SmUNAM836	S_marcescens_UMH9	S_marcescens_BWH-23	S_marcescens_Db11	S_marcescens_RSC-14	S_marcescens_SMB2099	S_marcescens_AR_0123
S_marcescens_SER00094	1.0	0.8365089812615466	0.9518304885844748	0.9524321028675466	0.9516930190410645	0.9536072783647221	0.8761597880490295	0.9897821378727004	0.95217157532676	0.9526835855487389	0.9505802427415516	0.9516871330589849	0.9521427450980393	0.9504389611605053	0.9539769603916333	0.9517098055364906	0.9525537604070305	0.9516001441317776	0.9897615708245243	0.8361681334751395	0.990117573000423	0.9525513159111934	0.8361203998947646	0.9579084368737475	0.952550117946346	0.9573495825932504	0.9592787186320232	0.9894524145208949	0.9529792957746479	0.9581230309094952	0.9520240745793543	0.9508509479465138	0.9518350502283104	0.952639861046781	0.9523756064814815	0.9894522097931616	0.9504387833411323	0.9532757505048239	0.952708872983413	0.95183399543379	0.8353545261744967	0.9536025980392158	0.9540779946702199	0.9516045298558682	0.8364036062121611	0.9517854435299498	0.9513543848078235	0.8368811158798285	0.9499885252477585	0.9518317031963471	0.9590097144754316	0.836619548812665	0.8367533324446814	0.9525487303422757	0.8365436750067258	0.9521094840632882	0.9586505912199426	0.9516020178448866	0.9515975841674248	0.9900311068943706	0.950818041557201	0.9472423143939394	0.9887724953134763	0.9522009298569453	0.9520899816134223	0.9895872819644369	0.9914130432086005	0.9531310555050045	0.9520737302495992	0.9516050778032036
S_liquefaciens_FDAARGOS_125	0.8366934225874867	1.0	0.8373753198831964	0.8377293297297297	0.8386872734606078	0.8383950609432962	0.8509066078483015	0.8369373790536948	0.8385999919527898	0.8375100967741935	0.8386358080667593	0.8387857081429724	0.8377582519001087	0.8380920434192674	0.8376907558760683	0.8379073021390374	0.838698077648962	0.8386761143931257	0.8369178288599523	0.988742984358707	0.8368706747816883	0.8386992100296577	0.9892962103505843	0.8374829333333332	0.8386997843084388	0.836711681626188	0.8375451892324094	0.8365586325237593	0.8378240179055887	0.8373603146666667	0.8377854489080616	0.8385538930245382	0.8374154297082227	0.8388525303479903	0.8386716222760292	0.8365587038014785	0.8380914979647218	0.8374984744857067	0.8375518878101403	0.8374156843501327	0.8796292324350337	0.8376675614973261	0.8373569347133758	0.8386754162191191	0.9889611613438407	0.8387097549151631	0.8381317650214593	0.8806132892249527	0.8383354944156904	0.8373758189540748	0.8380187040000001	0.984388424050633	0.8802309588389247	0.8387194039913699	0.8803804750593826	0.838433619302949	0.8375482154255317	0.8386753168635874	0.838192448488092	0.8367127144754316	0.8387288048578526	0.8335487955056181	0.8366434618452541	0.8385455741239893	0.8386940117994099	0.836949949481521	0.8370481951089846	0.8376109913793103	0.838559721030043	0.838674538131042
S_marcescens_WVU-002	0.9515791985428053	0.8369850451407328	1.0	0.9447100180546152	0.9624002770894347	0.9621222525366405	0.8794513166226914	0.9515659251700681	0.9624068708091195	0.9447959171730813	0.9781121638225257	0.9624417983344588	0.9427735140653357	0.9782781865168539	0.9494428024606972	0.9895979569217902	0.9621749717896637	0.962379077233947	0.9515671791383221	0.837166528189911	0.9513056116900769	0.962172013089596	0.8365177872114619	0.9515265451590434	0.9621720717670955	0.9520134945004584	0.9516016898470099	0.9513155863007485	0.9429937270043154	0.9514335780453914	0.9447476040955632	0.9772003563165201	0.9998752823984525	0.9622193333333334	0.9619515451230629	0.9513156430029485	0.9782824612272419	0.9486532069510268	0.9443915433212996	0.9998682069632495	0.8360370286331713	0.948361319554849	0.9493132507388041	0.9623384896768401	0.8373775318809777	0.9623948928007222	0.985217959488273	0.8368006672069153	0.9737580707762556	0.9999842236740968	0.9517867857142857	0.8375731403415155	0.8367221415068862	0.9621712189616253	0.8369405362946912	0.9626130820995963	0.9509724337404933	0.9623859744050292	0.9880002561930975	0.9511678552036199	0.9773439420625725	0.9400692539621183	0.9509554288300519	0.962254952681388	0.9626673026612541	0.951223853294091	0.9514790615769144	0.944866318768395	0.9620784554856114	0.962331777378815
S_marcescens_UMH2	0.9522528820861679	0.8377911494873179	0.9448191869369369	1.0	0.9447618467220684	0.9445520242451967	0.8776054845414395	0.9523194486044928	0.9447563517541848	0.9893571381646479	0.9440765744431419	0.9439619684859557	0.9857816486369536	0.9442603148877055	0.9513291606498195	0.9449449627791562	0.945252571559423	0.944543713692946	0.9522837658802178	0.8374156126052704	0.9522199659632403	0.9452685962903595	0.8371391490500402	0.95256497700092	0.9452849152542372	0.9521062482468443	0.9527020443520445	0.9522244140712525	0.9859077051998282	0.9525070222929936	0.9901197780973905	0.9451214173974875	0.9447101846015309	0.9451952654462242	0.9454105747922438	0.9522244387183508	0.9442625735464443	0.9521830723848421	0.9902552931392932	0.9447109252588923	0.836562389453447	0.9511842413407823	0.9526964558689717	0.9444964868603043	0.8377213775510205	0.9438290706150342	0.9442016228851291	0.83815005687974	0.9435229307875895	0.9448184279279279	0.9523923738188522	0.8382792413606912	0.8374999205261716	0.9452860481099655	0.8377376370145966	0.9448439356321839	0.9517947660550459	0.9445438321420336	0.9451956837700947	0.9520576299141438	0.9451765442047879	0.9859095386749913	0.9505191702175377	0.9448731368033164	0.9447298041474654	0.9522865845873233	0.9523966848691696	0.9900243060131796	0.9448332496545371	0.9445489255245562
S_marcescens_AR_0124	0.9516673310344829	0.8388790362750406	0.9628204764055092	0.9449158414464535	1.0	0.9869735262708244	0.8805956339144215	0.952452743302038	0.9911835137916839	0.9448874196510559	0.9606421885362387	0.9942729628140704	0.9438834808667589	0.9606380892314879	0.9527229837043837	0.9624041625505164	0.9858878863194294	0.9942391043566363	0.952451799862606	0.838278873431533	0.9530214079339601	0.9858885195591096	0.8383755732398166	0.9537848922018348	0.9858882991138965	0.9538796451612903	0.9542131190969824	0.9525606197118685	0.9437719383974061	0.9537342319242319	0.944687192334334	0.9608310028929605	0.9625772321227158	0.9861216518534575	0.9874298724048443	0.9525608438143153	0.9606300093457943	0.9522738502426624	0.9452762932226834	0.9625765779381908	0.8371585160938354	0.9525828023869635	0.9526500855887114	0.9941770597771022	0.8388183108472747	0.9907047491776315	0.9616553928571427	0.8384434059352028	0.9587444985875706	0.9628221675321744	0.9541280556188739	0.8386492541289292	0.8371139168900805	0.9858858201858656	0.838028879848115	0.9913671904761906	0.9538972414589104	0.9942406727456939	0.9628847013920073	0.9530313581952119	0.9608065027717523	0.939920421875	0.9527366313364055	0.9905719389249111	0.9906370964382419	0.9531710882487425	0.9526510664819944	0.9450489832869081	0.9889873837815302	0.9942405978921767
S_marcescens_AR_0027	0.9531464211975224	0.838446067715276	0.9622178624577227	0.9443873125429949	0.9864981315173441	1.0	0.8787089782157677	0.9522514857405703	0.9859823732767763	0.9437548486901536	0.9599250188857412	0.9853016352866512	0.9433956072591905	0.9589949919149919	0.9539252438745134	0.9623143546931406	0.9862560154241645	0.9869173670723895	0.9522512695492179	0.8378618145269365	0.9527379480101219	0.9862572857754927	0.8382253971650172	0.9542346078431373	0.9862571722365039	0.9539133855872719	0.9546890417057169	0.9517498240804205	0.9436023884393063	0.953189672321636	0.9439418411386593	0.9610500683317627	0.9620332379450203	0.987317071274298	0.9897716525603046	0.9517496024674433	0.9590032586087359	0.9534989589612799	0.9450603602771362	0.9620345989184318	0.836487116013072	0.9526803878621949	0.9539804	0.9868572224594363	0.8386838205265987	0.9853794936979278	0.9621454438671786	0.837772481712273	0.9583267602339182	0.9622198759864713	0.95444895716946	0.837864163372859	0.8375183990280778	0.986251649528706	0.8381943286026201	0.9869351033013843	0.9543614594468974	0.9869245815542271	0.9618297519729425	0.9528087180667434	0.9604289875835723	0.939988329393223	0.9506622959416324	0.986116503556801	0.9873736207267255	0.9528105395434632	0.9534082697610293	0.9455003911642891	0.9870568734123625	0.9869228101644245
S_ficaria_NCTC12148	0.8757981014604153	0.8501601477182801	0.87988119608362	0.8776139082855654	0.880515154802858	0.8797413008342023	1.0	0.8763441381987578	0.8807657638337305	0.877769392996109	0.8795794285714287	0.8807867580982237	0.8773504354711004	0.8798011120064463	0.8784713878080415	0.8797801374933897	0.8806792628797885	0.8802900607180569	0.8763270271668823	0.8500982136181575	0.8763714204545454	0.8806773236459711	0.850469817218543	0.8792506354602512	0.8806801215323645	0.8791028865710563	0.8794812414698163	0.8763917443647542	0.8774219669117647	0.8793276426348546	0.8777729335071708	0.8802261311297751	0.8799854222928251	0.8807432039091388	0.8818275245163	0.876391744364754	0.8798253773838303	0.87936688900469	0.8775753797799897	0.8799859359279851	0.8490250157315156	0.8783191617533966	0.8793215428571429	0.8802998944312483	0.8504424323607428	0.8806070281543273	0.8794989834079537	0.8518440943249548	0.8796470934629932	0.8798785604657318	0.8799234386519221	0.8505422189973616	0.850929472997652	0.8806747318361954	0.8512359106261367	0.8802800950369588	0.8795813212503284	0.8802974287222809	0.8795233141361256	0.8756919174193548	0.8804002657266812	0.8744396650290308	0.8756466939401688	0.8808771262546222	0.8805376123744051	0.8768381111977136	0.8761712586872586	0.8777261042703693	0.8801420763157893	0.8802951016099234
S_marcescens_WVU-003	0.9898991274883524	0.8364461155484557	0.9521548826611985	0.9528636792883213	0.9528433195592286	0.9525389506457564	0.876436092371562	1.0	0.952943635737253	0.952584633371169	0.9511094100856329	0.9527549313815188	0.9530249942035707	0.950365938009788	0.9538688661417324	0.9517510155891792	0.9528253062629043	0.9526467231509045	0.9999982820412935	0.8358497481243302	0.9904678193739425	0.9528179008947005	0.8360386510886881	0.958370299279928	0.9528187933012159	0.958291386516854	0.9594943614887452	0.9901868809073725	0.9532700348270258	0.9584929946043166	0.9529667374429224	0.9509724000951475	0.9521147904328019	0.9529870926223858	0.953110635321101	0.990186677168662	0.9503798158508159	0.9532997669155918	0.9529152339648482	0.952111749430524	0.8358186084142396	0.9535869629963898	0.9536404058624578	0.9526606753663004	0.8364224688080703	0.9526337394285714	0.9518897471212463	0.8370215841313268	0.9498546287593985	0.9521569036226931	0.9597290115248227	0.8359510223642174	0.8366972116430904	0.9528152144987382	0.8372632759092151	0.952740899931303	0.9587823765227022	0.9526460682390657	0.9521161406713862	0.9902454748486745	0.9509315349833412	0.9479771724137932	0.9899046733458569	0.9523117676652184	0.9528938390804598	0.9898620868644068	0.9902834375	0.9532729358007768	0.9529161061130335	0.9526663842454776
S_marcescens_UMH3	0.9521625223983461	0.8384071760887207	0.9631245617574535	0.9447376573668435	0.9916339442724457	0.9866736305596936	0.8806365118131139	0.9528305698529412	1.0	0.9451654226804124	0.9605170299598962	0.9917442975036106	0.9430914156206416	0.9605120490081681	0.9526330156537753	0.9628636396234872	0.9851457164275006	0.9916689742533471	0.9528310202205884	0.8380002923497268	0.9528326562857798	0.9851461362176056	0.8383660208166533	0.9539473487297923	0.9851465538659241	0.9543920032384918	0.954609103751737	0.9527514334548769	0.9432663014331947	0.9540831446395563	0.9444981260096931	0.9607213468013468	0.9629086729013583	0.9862264307228916	0.9867135809075344	0.9527514311759343	0.960505403828198	0.9526670530726257	0.944555795559667	0.9629128879982186	0.8366892606583919	0.9527933471359559	0.9531070107176142	0.9916072729145212	0.8392670174966352	0.9904043516209476	0.9617455687416032	0.8380738716693857	0.9579173445930096	0.9631294037211388	0.954424462353212	0.8389718723290599	0.8366596004290695	0.9851417566409597	0.8374864504748982	0.9921410152075626	0.9540711074918566	0.9916746014418126	0.9629077030058322	0.9526282350251486	0.9607958108758422	0.9401667995310669	0.9520957778284671	0.9905270446521287	0.9912296822429908	0.9528283211177278	0.9526941928044282	0.9450637814737816	0.9891235531289374	0.9916724103831891
S_marcescens_4201	0.9525955035235281	0.837795297763406	0.9446498579801623	0.9894406853839801	0.9446694327538885	0.9436625998645904	0.8773742797927462	0.9520936219401632	0.9449470929435944	1.0	0.9447636089517079	0.943803531539679	0.9854764478260869	0.944857429960639	0.9512721608265947	0.945304707733813	0.945207354677566	0.9444629993136582	0.9520932003626474	0.8370758665581773	0.9523279160966712	0.9452064668483198	0.8371096813922355	0.9527870627289378	0.9452160526913468	0.9520323023417575	0.9524626255181944	0.9522755183269621	0.9857648563404624	0.9528098185117966	0.9897399361745933	0.9454874120181949	0.9444959328526363	0.9451245090909091	0.9453512892865336	0.952275516078255	0.9448457046979867	0.9522355595749491	0.989687652483756	0.9444961536728258	0.8358754903031959	0.9514820263334076	0.9527234861552428	0.9444684259894761	0.8376542216854536	0.9433596568074059	0.9446571963449967	0.8379675350215517	0.9436539377990432	0.9446474954914337	0.9524320506912443	0.8373201325908248	0.8370953772813947	0.9452065023847377	0.8374422139917695	0.9449274988620847	0.9518156031128404	0.9444640892448513	0.9446986938233342	0.9522924546279491	0.9457006257492209	0.985341587469201	0.9512019909604521	0.9440722739602171	0.9448064103741106	0.9523718515144615	0.9525633371298408	0.9897922394862234	0.9449562642889804	0.9444629009380004
