	Serratia_marcescens_N10A28	Serratia_marcescens_AR_0130	Serratia_marcescens_AR_0027	Serratia_marcescens_AR_0099	Serratia_marcescens_ATCC_13880	Serratia_marcescens_CAV1761	Serratia_marcescens_AR_0091	Serratia_marcescens_UMH10	Serratia_marcescens_AR_0124	Serratia_marcescens_UMH8	Serratia_marcescens_Db11	Serratia_marcescens_UMH11	Serratia_marcescens_SGAir0764	Serratia_marcescens_95	Serratia_marcescens_WVU-001	Serratia_marcescens_WVU-010	Serratia_marcescens_C110	Serratia_marcescens_UMH6	Serratia_marcescens_WVU-007	Serratia_marcescens_AR_0131	Serratia_marcescens_BP2	Serratia_marcescens_RSC-14	Serratia_marcescens_WVU-006	Serratia_marcescens_U36365	Serratia_marcescens_WVU-003	Serratia_marcescens_UMH1	Serratia_marcescens_4201	Serratia_marcescens_SMB2099	Serratia_marcescens_UMH3	Serratia_marcescens_WVU-005	Serratia_marcescens_2838	Serratia_marcescens_E28	Serratia_marcescens_B3R3	Serratia_marcescens_1602	Serratia_marcescens_BWH-23	Serratia_marcescens_AR_0123	Serratia_marcescens_WVU-002	Serratia_marcescens_UMH9	Serratia_marcescens_SER00094	Serratia_marcescens_SM39	Serratia_marcescens_332	Serratia_marcescens_UMH12	Serratia_marcescens_UMH7	Serratia_marcescens_SmUNAM836	Serratia_marcescens_ATCC_274	Serratia_marcescens_CAV1492	Serratia_marcescens_WW4	Serratia_marcescens_AR_0121	Serratia_marcescens_3024	Serratia_marcescens_1140	Serratia_marcescens_FDAARGOS_65	Serratia_marcescens_BWH-35	Serratia_marcescens_N4-5	Serratia_marcescens_AR_0122	Serratia_marcescens_AS-1	Serratia_marcescens_WVU-004	Serratia_marcescens_UMH5	Serratia_marcescens_WVU-008	Serratia_marcescens_WVU-009	Serratia_marcescens_UMH2
Serratia_marcescens_N10A28	1.0	0.9427352457531144	0.9623224876515493	0.9621047553380784	0.9509140892279241	0.978796430946575	0.9621635409689664	0.951413702010969	0.9618381113585746	0.9511465565496673	0.9511888574686431	0.9514134826325412	0.9511946294580825	0.9782886031452358	0.9513947253248235	0.989765940882598	0.9621235999103942	0.9429945632597931	0.9897656182348044	0.9621816863707341	0.9488507601809956	0.9452565177160912	0.9451095490595968	0.949396402452873	0.9514101230909505	0.9514232633500684	0.9451487917507285	0.9617763543061133	0.9621961466666666	0.9508231361760661	0.9621262805287925	0.9784406486731685	0.9490788408422006	0.962410970765454	0.9512908605341245	0.9621832954038376	0.9897608597002497	0.9622184634309998	0.9514789244119662	0.962311052036199	0.9737796439909298	0.9509405495763683	0.9444657637474541	0.9622734648829432	0.9513809354017133	0.9787969097761028	0.9489492620176033	0.962143941556993	0.9621936500112033	0.9621309074613489	0.9624139743301058	0.97836746182323	0.9517364664067876	0.9621893843408432	0.9512547742532993	0.9897619109075769	0.9890117631027253	0.9864815621052632	0.9449454500561167	0.944732122375254
Serratia_marcescens_AR_0130	0.9433665100364964	1.0	0.9437539250814334	0.944062252873563	0.9515589529276693	0.9428481841432226	0.9441977635782748	0.952819415420023	0.9439414696412145	0.9518648849516796	0.9523590239410682	0.9528196432681243	0.9523971780128795	0.9442061380642046	0.9527113655268022	0.9431303350045579	0.943556149169979	0.990542627368421	0.9431340018231539	0.9439878776730283	0.952918036040146	0.9855517677756034	0.985841478995236	0.9514757887548372	0.9527235743992607	0.9531769436064051	0.9855730924479167	0.9431462010142923	0.9429862184679472	0.9522866102480871	0.943615236202058	0.942020680640603	0.9509361246612467	0.9431666186381595	0.953066835443038	0.9439898505059797	0.9433447472677595	0.9434504933674656	0.9522119829767657	0.9435959662684469	0.9426659073359074	0.9528081206496518	0.9864639700780572	0.9433511460517121	0.9517794670050762	0.9428365550906554	0.9526219880897847	0.9440052253909843	0.9434898200093501	0.9435520388122517	0.9433908125145927	0.9441897464380584	0.9517271875729969	0.9439873620055198	0.9525372733532247	0.9433535040983608	0.9432701784897024	0.9428180944774076	0.9861615012942191	0.9858563034512697
Serratia_marcescens_AR_0027	0.9623143546931406	0.9433956072591905	1.0	0.9853016352866512	0.9543614594468974	0.9589949919149919	0.9853794936979278	0.9517496024674433	0.9864981315173441	0.95444895716946	0.9534082697610293	0.9517498240804205	0.953189672321636	0.9610500683317627	0.9522512695492179	0.9620332379450203	0.9862572857754927	0.9436023884393063	0.9620345989184318	0.9869173670723895	0.9539804	0.9455003911642891	0.9439418411386593	0.9539252438745134	0.9522514857405703	0.9527379480101219	0.9437548486901536	0.9870568734123625	0.9859823732767763	0.9506622959416324	0.986251649528706	0.9599250188857412	0.9526803878621949	0.9869351033013843	0.9528105395434632	0.9869228101644245	0.9622178624577227	0.9873736207267255	0.9531464211975224	0.9897716525603046	0.9583267602339182	0.9528087180667434	0.9450603602771362	0.986116503556801	0.9546890417057169	0.9590032586087359	0.9534989589612799	0.9868572224594363	0.9862560154241645	0.9862571722365039	0.987317071274298	0.9604289875835723	0.9539133855872719	0.9869245815542271	0.9542346078431373	0.9622198759864713	0.9618297519729425	0.9621454438671786	0.944145075966851	0.9443873125429949
Serratia_marcescens_AR_0099	0.9624424181981175	0.9435427329050023	0.9857602738853503	1.0	0.9538733494586501	0.9604932042007002	0.9911428793695697	0.951563940486925	0.9937807820332866	0.954081451283216	0.9524750863856255	0.9515639427412081	0.9533961705037612	0.960294181949807	0.9523207855674812	0.9619997033707864	0.985470601633004	0.9434732439926063	0.9619939752808989	0.9941054049686932	0.9531269568245125	0.94473210198431	0.9438928626736507	0.9530874598807887	0.9523201187485727	0.9528079913261811	0.9439759352355073	0.9885809669369932	0.9908845870994248	0.9518044711211777	0.9854696519123336	0.9600680259433962	0.9519993416856493	0.99119727141084	0.9528726225045372	0.9941097657038982	0.9626981117620551	0.9908039370571072	0.9514116834170855	0.986745019404916	0.9586413531894934	0.9528747498852684	0.9449275512554711	0.9902116046803175	0.9544750621546961	0.9604821861875875	0.9525439315448659	0.9941122354604202	0.9854656274172754	0.9854699570262141	0.9860100367170627	0.9604350518947622	0.9538588978556607	0.9941078069466882	0.95394578766338	0.962694069400631	0.9617448729281768	0.9613199468320781	0.9440122994285715	0.9437145086837295
Serratia_marcescens_ATCC_13880	0.9515918266110339	0.9513669234296194	0.9549428102444704	0.9541243879429361	1.0	0.9504477449822905	0.9537531509997702	0.9586951342429577	0.954116388121547	0.9926289531447868	0.9592714390243903	0.9586953565140844	0.9877115059331176	0.9506530991337827	0.9585700132596685	0.9514348449791764	0.9541204468626998	0.9518033841533842	0.9514292688570106	0.9542070918719778	0.9677686222124089	0.9518051358195213	0.9519012753359145	0.9687699867344682	0.95858671160221	0.9590158257390532	0.9520249221967965	0.9542203937728938	0.9540594407210539	0.958383298533985	0.9541691429233266	0.950525706079464	0.9685097726771134	0.9541507847222223	0.9589906148082855	0.9542071770665439	0.9517210655547834	0.9543194941995361	0.958520389267649	0.9538098976982097	0.9493121982962613	0.9587957514450868	0.9521582110830076	0.9540655401019934	0.992838215339233	0.9504402691853602	0.9681584977139126	0.9541695417913885	0.9541198610789534	0.9541197893030795	0.9541278478664194	0.9506808830606351	0.9872437348353553	0.9542135413308773	0.986892616762636	0.9517024229789205	0.9517182897153353	0.9514164502065167	0.9517033378932969	0.9514836423992672
Serratia_marcescens_CAV1761	0.9799065094972068	0.9435627574130283	0.9603923731968357	0.9613033200748713	0.9511447465656088	1.0	0.9610145812807882	0.9510485307171221	0.961054925198691	0.9515590690476191	0.9513536818609022	0.9510482994627424	0.9511571094681612	0.9902644158878505	0.9504700880444856	0.9790737522401434	0.960637128252788	0.9443569771241829	0.9790673969534051	0.9613509875965365	0.949294721180881	0.9455855327582188	0.9453131298065718	0.949755975869411	0.9504699745134384	0.9509982461466605	0.9453685677985678	0.9607938619883041	0.9607816064350665	0.9509663463345865	0.9606674691501746	0.9944956633704162	0.9495514869626499	0.9614606149169979	0.9511625923328657	0.961350786516854	0.9789836042086413	0.9614782898141613	0.9512025428907168	0.9605081448598132	0.9711144039270687	0.9510614218566393	0.945396773364486	0.9604839666901244	0.9517790714794586	0.9999888204939182	0.949286964744338	0.9612992136672126	0.9606357574349442	0.9606459679293515	0.9608478484848485	0.9905367112810707	0.9511580339631667	0.9613515071378423	0.9513806200810875	0.9789668412805016	0.979587592259226	0.978989247457627	0.9452702843930636	0.9449165801668211
Serratia_marcescens_AR_0091	0.9625171698537683	0.9439684620658134	0.9851154848355406	0.9914879357056207	0.9535939091328414	0.9595083127187866	1.0	0.9517602327157705	0.9905840197084789	0.9539676636155606	0.952614882325796	0.9517604541346589	0.9530879289940829	0.959772261246091	0.9522291472868217	0.9623934552845529	0.9861426574033868	0.9437218152499425	0.9623912985546522	0.9908890151826016	0.9525436275191106	0.9452796012906199	0.9441696912168344	0.9524868067033977	0.9522289238486091	0.9527198262459992	0.9437252843870383	0.9884674076406381	0.9900406842214389	0.9520433409350058	0.9861501064060804	0.9595210326859308	0.9519492352808483	0.9898907182777893	0.9531656627056673	0.9908882027082478	0.9625689263110309	0.9901994801414017	0.9519684481574732	0.9863877392241379	0.958559024332061	0.9528080856423173	0.9451513356401385	0.989990982050753	0.9543036768095895	0.9594332905484249	0.9522366882516188	0.9908978974358975	0.9860745409159973	0.9861410247503257	0.9862253087757313	0.9598023315688162	0.9539903295948731	0.9908970687179488	0.9538636941068563	0.9625675203435806	0.9620188299531981	0.961538009362461	0.9446099130434783	0.9441900571559214
Serratia_marcescens_UMH10	0.9520677096255455	0.9531145988439308	0.9523936474094451	0.9519440768361582	0.9590430889821153	0.9505382889822596	0.9518035986471252	1.0	0.9528486607142856	0.9596217321270963	0.9906264844407064	0.9999973203125001	0.9584544682259487	0.9507415711908723	0.9899443711946252	0.9517161183162685	0.9526660714285715	0.9535335253296322	0.9517098339021616	0.9527882102857143	0.9535593242336095	0.9533392604428214	0.9525790307971015	0.9537853628398112	0.9899038308144417	0.9915380439742792	0.9530547105203876	0.9527455491859667	0.9529427690557453	0.9898739227895392	0.9526690199221435	0.9508974257190397	0.9531164250669046	0.9528372114727977	0.990810324947589	0.9527881398537477	0.9517142025028441	0.9528646502620187	0.9896754378560878	0.9531339972369329	0.9498939774594977	0.9911159022556392	0.9524483568181819	0.9530219762935948	0.9594313448352135	0.9505505907074481	0.9533173948256467	0.9527982335466179	0.9526647115384616	0.9526718845889627	0.9529304279176201	0.9508558392772232	0.9582117436927886	0.9527996732175504	0.9584758537127612	0.951712220705347	0.9519063865735526	0.9516402512449073	0.9523616595264939	0.9525939973021583
Serratia_marcescens_AR_0124	0.9624041625505164	0.9438834808667589	0.9869735262708244	0.9942729628140704	0.9538972414589104	0.9606380892314879	0.9907047491776315	0.9525608438143153	1.0	0.9541280556188739	0.9526510664819944	0.9525606197118685	0.9537342319242319	0.9608310028929605	0.952451799862606	0.9625772321227158	0.9858885195591096	0.9437719383974061	0.9625765779381908	0.9942391043566363	0.9526500855887114	0.9450489832869081	0.944687192334334	0.9527229837043837	0.952452743302038	0.9530214079339601	0.9448874196510559	0.9889873837815302	0.9911835137916839	0.9527366313364055	0.9858858201858656	0.9606421885362387	0.9525828023869635	0.9913671904761906	0.9531710882487425	0.9942405978921767	0.9628204764055092	0.9906370964382419	0.9516673310344829	0.9874298724048443	0.9587444985875706	0.9530313581952119	0.9452762932226834	0.9905719389249111	0.9542131190969824	0.9606300093457943	0.9522738502426624	0.9941770597771022	0.9858878863194294	0.9858882991138965	0.9861216518534575	0.9608065027717523	0.9538796451612903	0.9942406727456939	0.9537848922018348	0.9628221675321744	0.9628847013920073	0.9616553928571427	0.9449316716763005	0.9449158414464535
Serratia_marcescens_UMH8	0.9515382509767869	0.952248198156682	0.9546503441860464	0.9545440607296624	0.993019811440678	0.9512860701588054	0.9542219607843138	0.9594159669603524	0.9545301409731697	1.0	0.9598391283077607	0.9594161894273129	0.9888880633426065	0.951692083939835	0.9596686436933952	0.9519247529575505	0.9541812670520231	0.9523346036866359	0.9519193528183716	0.9546687505699956	0.9686092554841568	0.9528652783552783	0.9527200091911765	0.9691776822512742	0.9596685973050585	0.9598035372340425	0.9530780633233188	0.9547488886358462	0.9543491008922443	0.9591673290408526	0.9541792323699422	0.9512057880826525	0.9691605720620841	0.9545660650069155	0.959892992248062	0.9546711354309164	0.9520959726090993	0.9545096849850541	0.9592494540229884	0.9541415678064665	0.9494301999529523	0.9596289851210306	0.9529649299655568	0.9546078235967927	0.9943045850796312	0.9512847689025836	0.9681869960035525	0.9546785864113088	0.9541801942196533	0.9541808903792786	0.9544490993500465	0.951625389657684	0.9883860791057609	0.9546717354618016	0.9886444861407249	0.952089373259053	0.9520701701149424	0.9514311838790933	0.952522972725189	0.95251153065929
